epoch,train_loss,lr,val_eer,val_rank1
1,0.499154,0.001,,
2,0.486808,0.001,,
3,0.483696,0.001,,
4,0.480282,0.001,,
5,0.478749,0.001,,
6,0.476973,0.001,,
7,0.476095,0.001,,
8,0.474583,0.001,,
9,0.474024,0.001,,
10,0.471886,0.001,0.303624,0.254237
11,0.471921,0.001,,
12,0.470829,0.001,,
13,0.469887,0.001,,
14,0.469522,0.001,,
15,0.468247,0.001,,
16,0.467852,0.001,,
17,0.466778,0.001,,
18,0.465618,0.001,,
19,0.465355,0.001,,
20,0.464869,0.001,0.272063,0.305085
21,0.463541,0.001,,
22,0.463747,0.001,,
23,0.462911,0.001,,
24,0.461682,0.001,,
25,0.46207,0.001,,
26,0.46065,0.001,,
27,0.46152,0.001,,
28,0.460734,0.001,,
29,0.460046,0.001,,
30,0.460389,0.001,0.271186,0.355932
31,0.459677,0.001,,
32,0.460066,0.001,,
33,0.459139,0.001,,
34,0.459016,0.001,,
35,0.458413,0.001,,
36,0.459493,0.001,,
37,0.459584,0.001,,
38,0.458356,0.001,,
39,0.45837,0.001,,
40,0.45837,0.001,0.236996,0.338983
41,0.458847,0.001,,
42,0.458166,0.001,,
43,0.457381,0.001,,
44,0.457153,0.001,,
45,0.456891,0.001,,
46,0.457245,0.001,,
47,0.456171,0.001,,
48,0.456718,0.001,,
49,0.455895,0.001,,
50,0.456553,0.001,0.237288,0.355932
51,0.456301,0.001,,
52,0.456817,0.001,,
53,0.455577,0.001,,
54,0.454893,0.001,,
55,0.455538,0.001,,
56,0.456427,0.001,,
57,0.456402,0.001,,
58,0.454952,0.001,,
59,0.455723,0.001,,
60,0.455652,0.001,0.220339,0.322034
61,0.455049,0.001,,
62,0.455782,0.001,,
63,0.455228,0.001,,
64,0.454655,0.001,,
65,0.454757,0.001,,
66,0.454484,0.001,,
67,0.454606,0.001,,
68,0.453732,0.001,,
69,0.453582,0.001,,
70,0.454771,0.001,0.20339,0.389831
71,0.454432,0.001,,
72,0.453733,0.001,,
73,0.45417,0.001,,
74,0.452839,0.001,,
75,0.453089,0.001,,
76,0.453705,0.001,,
77,0.453422,0.001,,
78,0.453257,0.001,,
79,0.453531,0.001,,
80,0.45288,0.001,0.205874,0.372881
81,0.453524,0.001,,
82,0.452933,0.001,,
83,0.452917,0.001,,
84,0.45222,0.001,,
85,0.452996,0.001,,
86,0.452537,0.001,,
87,0.453253,0.001,,
88,0.452658,0.001,,
89,0.453082,0.001,,
90,0.45316,0.001,0.20339,0.40678
91,0.452612,0.001,,
92,0.452738,0.001,,
93,0.452466,0.001,,
94,0.452133,0.001,,
95,0.451957,0.001,,
96,0.451909,0.001,,
97,0.452345,0.001,,
98,0.4523,0.001,,
99,0.452214,0.001,,
100,0.452532,0.001,0.216832,0.389831
101,0.452794,0.001,,
102,0.452872,0.001,,
103,0.452037,0.001,,
104,0.451437,0.001,,
105,0.451615,0.001,,
106,0.452179,0.001,,
107,0.452012,0.001,,
108,0.450947,0.001,,
109,0.45165,0.001,,
110,0.451814,0.001,0.206897,0.40678
111,0.45134,0.001,,
112,0.452577,0.001,,
113,0.451185,0.001,,
114,0.451511,0.001,,
115,0.450954,0.001,,
116,0.450467,0.001,,
117,0.450868,0.001,,
118,0.450485,0.001,,
119,0.451082,0.001,,
120,0.451979,0.001,0.220339,0.40678
121,0.451028,0.001,,
122,0.45055,0.001,,
123,0.451263,0.001,,
124,0.450736,0.001,,
125,0.450581,0.001,,
126,0.450059,0.001,,
127,0.451014,0.001,,
128,0.451246,0.001,,
129,0.451267,0.001,,
130,0.450619,0.001,0.218147,0.423729
131,0.450764,0.001,,
132,0.450303,0.001,,
133,0.449818,0.001,,
134,0.451069,0.001,,
135,0.4504,0.001,,
136,0.450844,0.001,,
137,0.449314,0.001,,
138,0.450602,0.001,,
139,0.450138,0.001,,
140,0.450456,0.001,0.220339,0.40678
141,0.450447,0.001,,
142,0.450603,0.001,,
143,0.450187,0.001,,
144,0.450268,0.001,,
145,0.449781,0.001,,
146,0.449251,0.001,,
147,0.450173,0.001,,
148,0.450345,0.001,,
149,0.450413,0.001,,
150,0.450179,0.001,0.220339,0.423729
