epoch,train_loss,lr,val_eer,val_rank1
1,0.416813,0.001,,
2,0.33368,0.001,,
3,0.316071,0.001,,
4,0.303124,0.001,,
5,0.296537,0.001,,
6,0.287979,0.001,,
7,0.281723,0.001,,
8,0.276151,0.001,,
9,0.276573,0.001,,
10,0.275505,0.001,0.081093,0.440678
11,0.268886,0.001,,
12,0.264615,0.001,,
13,0.264773,0.001,,
14,0.257618,0.001,,
15,0.260453,0.001,,
16,0.255857,0.001,,
17,0.252795,0.001,,
18,0.252259,0.001,,
19,0.251627,0.001,,
20,0.24933,0.001,0.067943,0.457627
21,0.248658,0.001,,
22,0.24784,0.001,,
23,0.245546,0.001,,
24,0.243768,0.001,,
25,0.245288,0.001,,
26,0.245141,0.001,,
27,0.244647,0.001,,
28,0.241769,0.001,,
29,0.239198,0.001,,
30,0.238762,0.001,0.067797,0.423729
31,0.238616,0.001,,
32,0.240623,0.001,,
33,0.239609,0.001,,
34,0.238279,0.001,,
35,0.23979,0.001,,
36,0.23737,0.001,,
37,0.237083,0.001,,
38,0.232829,0.001,,
39,0.234044,0.001,,
40,0.233595,0.001,0.054793,0.355932
