epoch,train_loss,lr,val_eer,val_rank1
1,5.386995,2.9999999999999997e-05,,
2,4.750792,8.399999999999998e-05,,
3,4.467826,0.00013799999999999997,,
4,4.35617,0.00019199999999999995,,
5,4.311128,0.00024599999999999996,,
6,4.224302,0.0003,,
7,4.09826,0.00029996482990806984,,
8,4.005158,0.00029985933614125993,,
9,3.981775,0.0002996835682187625,,
10,3.900334,0.00029943760864673685,0.055505,0.534483
11,3.874608,0.00029912157287958086,,
12,3.792522,0.0002987356092657362,,
13,3.762937,0.0002982798989780526,,
14,3.765029,0.0002977546559287453,,
15,3.721279,0.00029716012666898306,,
16,3.689396,0.0002964965902731566,,
17,3.651216,0.00029576435820787976,,
18,3.660716,0.0002949637741857858,,
19,3.610363,0.00029409521400418744,,
20,3.595177,0.0002931590853686761,0.051724,0.672414
21,3.588648,0.0002921558277017431,,
22,3.566765,0.0002910859119365133,,
23,3.547659,0.000289949840295687,,
24,3.516568,0.0002887481460557947,,
25,3.519698,0.00028748139329687496,,
26,3.511711,0.000286150176637693,,
27,3.487242,0.0002847551209566243,,
28,3.481334,0.0002832968810983342,,
29,3.449643,0.0002817761415663912,,
30,3.445535,0.00028019361620195836,0.049456,0.672414
31,3.416319,0.00027855004784871335,,
32,3.422549,0.00027684620800415467,,
33,3.399911,0.00027508289645745775,,
34,3.381124,0.00027326094091405066,,
35,3.381819,0.0002713811966070859,,
36,3.376741,0.00026944454589599077,,
37,3.348758,0.00026745189785228393,,
38,3.339096,0.00026540418783285415,,
39,3.319636,0.00026330237704089957,,
40,3.315087,0.00026114745207473554,0.051724,0.689655
41,3.313074,0.0002589404244646812,,
42,3.313038,0.00025668233019824325,,
43,3.278863,0.00025437422923381924,,
44,3.287114,0.0002520172050031489,,
45,3.277783,0.00024961236390274715,,
46,3.249536,0.00024716083477455695,,
47,3.249481,0.00024466376837606655,,
48,3.24583,0.00024212233684013933,,
49,3.24445,0.00023953773312481008,,
50,3.214658,0.0002369111704533056,0.051724,0.568966
51,3.212773,0.00023424388174455305,,
52,3.197507,0.0002315371190344429,,
53,3.197908,0.00022879215288811825,,
54,3.19787,0.00022601027180356654,,
55,3.17861,0.00022319278160679362,,
56,3.164073,0.0002203410048388636,,
57,3.174504,0.00021745628013509303,,
58,3.164241,0.00021453996159669008,,
59,3.149694,0.00021159341815513424,,
60,3.133543,0.00020861803292959415,0.051724,0.568966
61,3.131246,0.0002056152025776862,,
62,3.13027,0.000202586336639878,,
63,3.121459,0.0001995328568778441,,
64,3.105414,0.00019645619660708594,,
65,3.099784,0.00019335780002412747,,
66,3.101463,0.00019023912152860384,,
67,3.080332,0.00018710162504056017,,
68,3.0671,0.000183946783313282,,
69,3.07353,0.00018077607724197885,,
70,3.057224,0.00017759099516864618,0.051724,0.758621
71,3.049479,0.00017439303218343187,,
72,3.050483,0.0001711836894228347,,
73,3.035929,0.0001679644733650653,,
74,3.040018,0.00016473689512289897,,
75,3.033225,0.0001615024697343537,,
76,3.021534,0.00015826271545152487,,
77,3.015691,0.00015501915302791217,,
78,3.015392,0.00015177330500457152,,
79,3.003059,0.0001485266949954286,,
80,2.999303,0.00014528084697208797,0.049758,0.741379
81,2.994048,0.00014203728454847525,,
82,2.985266,0.00013879753026564646,,
83,2.973963,0.0001355631048771011,,
84,2.969756,0.00013233552663493482,,
85,2.962065,0.0001291163105771654,,
86,2.947277,0.00012590696781656824,,
87,2.945386,0.0001227090048313539,,
88,2.94588,0.00011952392275802127,,
89,2.92753,0.00011635321668671808,,
90,2.930344,0.00011319837495943996,0.051724,0.793103
91,2.921386,0.00011006087847139628,,
92,2.913977,0.00010694219997587262,,
93,2.907647,0.0001038438033929142,,
94,2.899687,0.000100767143122156,,
95,2.891634,9.771366336012209e-05,,
96,2.8891,9.468479742231387e-05,,
97,2.890801,9.168196707040595e-05,,
98,2.878895,8.870658184486585e-05,,
99,2.876708,8.576003840330998e-05,,
100,2.874208,8.284371986490704e-05,0.034483,0.827586
101,2.864884,7.995899516113649e-05,,
102,2.871303,7.710721839320647e-05,,
103,2.846869,7.42897281964335e-05,,
104,2.84056,7.150784711188183e-05,,
105,2.852433,6.876288096555715e-05,,
106,2.846942,6.605611825544703e-05,,
107,2.829245,6.338882954669452e-05,,
108,2.831502,6.0762266875190016e-05,,
109,2.819726,5.817766315986079e-05,,
110,2.814183,5.563623162393354e-05,0.036903,0.862069
111,2.817794,5.3139165225443164e-05,,
112,2.809397,5.0687636097252966e-05,,
113,2.81168,4.828279499685117e-05,,
114,2.79229,4.5925770766180865e-05,,
115,2.800364,4.3617669801756864e-05,,
116,2.799548,4.135957553531887e-05,,
117,2.786836,3.915254792526454e-05,,
118,2.783906,3.6997622959100515e-05,,
119,2.7703,3.489581216714592e-05,,
120,2.771349,3.284810214771613e-05,0.034483,0.844828
121,2.766587,3.0855454104009294e-05,,
122,2.764503,2.8918803392914152e-05,,
123,2.770615,2.7039059085949454e-05,,
124,2.757729,2.5217103542542347e-05,,
125,2.756514,2.345379199584544e-05,,
126,2.754722,2.1749952151286788e-05,,
127,2.747715,2.0106383798041745e-05,,
128,2.744381,1.8523858433608928e-05,,
129,2.750576,1.7003118901665914e-05,,
130,2.744341,1.5544879043375812e-05,0.048548,0.844828
131,2.737613,1.4149823362307116e-05,,
132,2.73745,1.281860670312514e-05,,
133,2.73493,1.1551853944205416e-05,,
134,2.73376,1.0350159704313114e-05,,
135,2.724634,9.214088063486848e-06,,
136,2.731159,8.144172298257074e-06,,
137,2.730274,7.140914631324069e-06,,
138,2.729,6.204785995812701e-06,,
139,2.716652,5.336225814214339e-06,,
140,2.716533,4.535641792120375e-06,0.049456,0.827586
141,2.715933,3.8034097268435175e-06,,
142,2.722722,3.1398733310170636e-06,,
143,2.719204,2.545344071254826e-06,,
144,2.718218,2.020101021947496e-06,,
145,2.715515,1.5643907342639366e-06,,
146,2.71128,1.178427120419215e-06,,
147,2.717064,8.623913532632472e-07,,
148,2.716978,6.16431781237574e-07,,
149,2.716301,4.406638587400898e-07,,
150,2.707295,3.3517009193015347e-07,0.049304,0.844828
