temperature,protocol,split,enroll_ratio,enroll_first,n_test_seeds,n_val_seeds,test_eer_mean_pct,test_eer_std_pct,test_eer_ci95_pct,test_rank1_mean_pct,test_rank1_std_pct,test_rank1_ci95_pct,val_eer_mean_pct,val_eer_std_pct,val_eer_ci95_pct,val_rank1_mean_pct,val_rank1_std_pct,val_rank1_ci95_pct,is_best_temp_for_protocol,frr@far1%_test_mean_pct,frr@far0.1%_test_mean_pct,frr@far0.01%_test_mean_pct
0.03,e50v50,enroll=50% (enroll-first),0.5,True,10,10,0.981,0.185,0.132,79.058,5.251,3.756,1.502,0.061,0.044,99.138,1.676,1.199,False,1.435,54.439,89.462
0.05,e50v50,enroll=50% (enroll-first),0.5,True,10,10,0.897,0.194,0.139,82.556,6.073,4.345,1.231,0.469,0.335,99.483,1.636,1.17,False,1.345,45.964,87.623
0.07,e50v50,enroll=50% (enroll-first),0.5,True,10,10,0.873,0.131,0.094,82.825,6.409,4.584,0.936,0.517,0.37,99.138,1.219,0.872,False,0.762,42.152,86.996
0.09,e50v50,enroll=50% (enroll-first),0.5,True,10,10,0.813,0.108,0.077,85.83,2.327,1.665,0.349,0.048,0.034,100.0,0.0,0.0,False,0.359,37.04,83.453
0.1,e50v50,enroll=50% (enroll-first),0.5,True,10,10,0.802,0.093,0.066,84.753,1.449,1.037,0.293,0.043,0.031,99.31,1.454,1.04,False,0.493,37.175,86.906
0.12,e50v50,enroll=50% (enroll-first),0.5,True,10,10,0.813,0.113,0.081,83.722,2.135,1.528,0.265,0.02,0.015,99.31,0.89,0.637,True,0.314,45.74,89.238
0.15,e50v50,enroll=50% (enroll-first),0.5,True,10,10,0.797,0.14,0.1,81.345,5.144,3.68,0.266,0.026,0.019,97.931,0.727,0.52,False,0.404,82.242,97.892
0.03,e70v30,enroll=70% (enroll-first),0.7,True,10,10,1.067,0.225,0.161,77.04,6.501,4.651,0.52,0.42,0.3,98.103,2.218,1.587,False,1.973,59.552,89.865
0.05,e70v30,enroll=70% (enroll-first),0.7,True,10,10,0.904,0.118,0.085,83.408,2.465,1.764,0.25,0.05,0.036,100.0,0.0,0.0,False,0.314,49.013,86.637
0.07,e70v30,enroll=70% (enroll-first),0.7,True,10,10,0.895,0.02,0.015,81.525,2.133,1.526,0.191,0.026,0.019,99.655,0.727,0.52,False,0.269,47.848,86.726
0.09,e70v30,enroll=70% (enroll-first),0.7,True,10,10,0.919,0.122,0.087,82.152,2.225,1.592,0.159,0.026,0.019,98.966,1.206,0.862,False,0.673,48.61,86.592
0.1,e70v30,enroll=70% (enroll-first),0.7,True,10,10,0.889,0.029,0.021,82.332,1.468,1.05,0.148,0.022,0.016,98.966,1.206,0.862,False,0.269,48.386,87.354
0.12,e70v30,enroll=70% (enroll-first),0.7,True,10,10,0.895,0.022,0.016,80.942,1.94,1.388,0.141,0.01,0.007,99.31,0.89,0.637,False,0.404,54.843,89.641
0.15,e70v30,enroll=70% (enroll-first),0.7,True,10,10,0.897,0.035,0.025,77.713,3.994,2.857,0.138,0.013,0.009,98.966,0.89,0.637,True,0.717,86.816,98.027
0.03,e80v20,enroll=80% (enroll-first),0.8,True,10,10,0.906,0.025,0.018,81.57,2.848,2.037,0.284,0.071,0.051,99.655,1.09,0.78,False,0.628,52.78,88.52
0.05,e80v20,enroll=80% (enroll-first),0.8,True,10,10,0.947,0.123,0.088,81.659,2.678,1.915,0.197,0.041,0.029,99.655,0.727,0.52,False,0.852,52.242,86.906
0.07,e80v20,enroll=80% (enroll-first),0.8,True,10,10,0.9,0.02,0.014,82.646,2.05,1.467,0.165,0.044,0.031,99.483,1.164,0.832,False,0.583,47.758,84.439
0.09,e80v20,enroll=80% (enroll-first),0.8,True,10,10,0.955,0.134,0.096,81.031,3.994,2.857,0.147,0.057,0.04,98.103,2.064,1.477,False,1.031,52.287,86.368
0.1,e80v20,enroll=80% (enroll-first),0.8,True,10,10,0.957,0.106,0.075,80.404,2.666,1.907,0.139,0.026,0.018,99.31,0.89,0.637,True,1.076,53.767,86.009
0.12,e80v20,enroll=80% (enroll-first),0.8,True,10,10,0.989,0.155,0.111,80.538,3.344,2.392,0.159,0.046,0.033,98.103,0.979,0.7,False,1.031,56.996,88.072
0.15,e80v20,enroll=80% (enroll-first),0.8,True,10,10,0.953,0.109,0.078,79.058,4.17,2.983,0.144,0.026,0.019,98.103,1.51,1.08,False,0.987,85.336,97.623
0.03,v20e80,enroll=80% (verify-first),0.8,False,10,10,2.018,0.311,0.222,60.179,5.073,3.629,1.724,0.0,0.0,96.552,0.0,0.0,False,14.395,81.659,96.188
0.05,v20e80,enroll=80% (verify-first),0.8,False,10,10,1.969,0.26,0.186,59.821,5.897,4.218,1.724,0.0,0.0,96.724,0.545,0.39,True,14.305,83.184,96.816
0.07,v20e80,enroll=80% (verify-first),0.8,False,10,10,1.974,0.408,0.292,59.776,5.23,3.741,1.724,0.0,0.0,96.724,0.545,0.39,False,15.336,84.036,96.996
0.09,v20e80,enroll=80% (verify-first),0.8,False,10,10,1.861,0.146,0.105,59.731,4.592,3.285,1.724,0.0,0.0,96.552,0.813,0.581,False,14.439,83.632,97.13
0.1,v20e80,enroll=80% (verify-first),0.8,False,10,10,1.898,0.314,0.224,59.552,5.073,3.629,1.724,0.0,0.0,96.552,0.0,0.0,False,15.067,83.408,97.354
0.12,v20e80,enroll=80% (verify-first),0.8,False,10,10,1.94,0.192,0.137,57.444,4.561,3.262,1.724,0.0,0.0,96.724,0.545,0.39,False,17.444,84.529,97.175
0.15,v20e80,enroll=80% (verify-first),0.8,False,10,10,1.901,0.247,0.177,54.35,5.099,3.648,1.724,0.0,0.0,96.379,0.979,0.7,False,15.516,88.475,98.027
0.03,v30e70,enroll=70% (verify-first),0.7,False,10,10,1.947,0.223,0.16,56.906,4.705,3.366,1.724,0.0,0.0,97.069,1.164,0.832,False,16.233,83.408,96.457
