temperature,protocol,seed,eer_pct,rank1_pct,val_eer_pct,val_rank1_pct
0.03,e50v50,5,0.906,80.2691,1.4519,100.0
0.03,e50v50,7,0.913,74.4395,1.5275,100.0
0.03,e50v50,17,1.3716,73.0942,1.4368,94.8276
0.03,e50v50,31,1.2544,71.7489,1.467,98.2759
0.03,e50v50,42,0.8746,81.1659,1.4519,100.0
0.03,e50v50,88,0.8383,86.0987,1.4519,100.0
0.03,e50v50,99,0.8969,82.5112,1.5729,100.0
0.03,e50v50,123,0.9595,77.13,1.588,100.0
0.03,e50v50,256,0.808,86.9955,1.588,100.0
0.03,e50v50,2024,0.9837,77.13,1.4822,98.2759
0.05,e50v50,5,0.8837,82.0628,1.4973,100.0
0.05,e50v50,7,0.81,88.3408,1.4822,100.0
0.05,e50v50,17,0.9979,76.6816,1.4822,100.0
0.05,e50v50,31,0.7868,87.8924,1.4217,100.0
0.05,e50v50,42,1.418,70.852,1.3309,94.8276
0.05,e50v50,88,0.8575,84.7534,0.2874,100.0
0.05,e50v50,99,0.7868,85.6502,1.4822,100.0
0.05,e50v50,123,0.8181,85.6502,1.4519,100.0
0.05,e50v50,256,0.813,75.7848,1.467,100.0
0.05,e50v50,2024,0.7969,87.8924,0.4083,100.0
0.07,e50v50,5,0.812,87.8924,1.3007,100.0
0.07,e50v50,7,0.8009,84.3049,0.3025,98.2759
0.07,e50v50,17,0.8555,85.6502,1.3309,100.0
0.07,e50v50,31,1.2352,66.8161,1.346,100.0
0.07,e50v50,42,0.8585,85.2018,1.3612,100.0
0.07,e50v50,88,0.8282,86.0987,0.3479,96.5517
0.07,e50v50,99,0.7989,86.9955,1.3612,100.0
0.07,e50v50,123,0.808,86.0987,0.3327,100.0
0.07,e50v50,256,0.8969,77.13,1.3158,98.2759
0.07,e50v50,2024,0.8312,82.0628,0.363,98.2759
0.09,e50v50,5,0.7989,86.0987,0.3479,100.0
0.09,e50v50,7,0.8696,87.4439,0.3781,100.0
0.09,e50v50,17,0.5323,85.2018,0.3176,100.0
0.09,e50v50,31,0.8777,85.2018,0.3479,100.0
0.09,e50v50,42,0.7898,89.6861,0.3781,100.0
0.09,e50v50,88,0.8969,80.7175,0.2722,100.0
0.09,e50v50,99,0.7979,86.9955,0.3176,100.0
0.09,e50v50,123,0.809,85.2018,0.3025,100.0
0.09,e50v50,256,0.8999,84.7534,0.4083,100.0
0.09,e50v50,2024,0.8605,86.9955,0.4235,100.0
0.1,e50v50,5,0.8029,83.8565,0.3025,100.0
0.1,e50v50,7,0.5555,86.0987,0.3327,100.0
0.1,e50v50,17,0.8494,82.9596,0.3327,100.0
0.1,e50v50,31,0.8666,85.2018,0.3025,100.0
0.1,e50v50,42,0.81,83.8565,0.3176,96.5517
0.1,e50v50,88,0.8322,85.2018,0.2269,96.5517
0.1,e50v50,99,0.7898,87.8924,0.242,100.0
0.1,e50v50,123,0.7959,83.4081,0.2874,100.0
0.1,e50v50,256,0.8969,84.3049,0.3479,100.0
0.1,e50v50,2024,0.8171,84.7534,0.242,100.0
